#Do not edit! This file is automatically extracted from Unicode Data.
#code;character;name;variant;plain_code;plain_character
1D4F1;𝓱;MATHEMATICAL BOLD SCRIPT SMALL H;BoldScript;0068;h
1D4F2;𝓲;MATHEMATICAL BOLD SCRIPT SMALL I;BoldScript;0069;i
1D4F3;𝓳;MATHEMATICAL BOLD SCRIPT SMALL J;BoldScript;006A;j
1D4F4;𝓴;MATHEMATICAL BOLD SCRIPT SMALL K;BoldScript;006B;k
1D4F5;𝓵;MATHEMATICAL BOLD SCRIPT SMALL L;BoldScript;006C;l
1D4F6;𝓶;MATHEMATICAL BOLD SCRIPT SMALL M;BoldScript;006D;m
1D4F7;𝓷;MATHEMATICAL BOLD SCRIPT SMALL N;BoldScript;006E;n
1D4F8;𝓸;MATHEMATICAL BOLD SCRIPT SMALL O;BoldScript;006F;o
1D4F9;𝓹;MATHEMATICAL BOLD SCRIPT SMALL P;BoldScript;0070;p
1D4FA;𝓺;MATHEMATICAL BOLD SCRIPT SMALL Q;BoldScript;0071;q
1D4FB;𝓻;MATHEMATICAL BOLD SCRIPT SMALL R;BoldScript;0072;r
1D4FC;𝓼;MATHEMATICAL BOLD SCRIPT SMALL S;BoldScript;0073;s
1D4FD;𝓽;MATHEMATICAL BOLD SCRIPT SMALL T;BoldScript;0074;t
1D4FE;𝓾;MATHEMATICAL BOLD SCRIPT SMALL U;BoldScript;0075;u
1D4FF;𝓿;MATHEMATICAL BOLD SCRIPT SMALL V;BoldScript;0076;v
1D500;𝔀;MATHEMATICAL BOLD SCRIPT SMALL W;BoldScript;0077;w
1D501;𝔁;MATHEMATICAL BOLD SCRIPT SMALL X;BoldScript;0078;x
1D502;𝔂;MATHEMATICAL BOLD SCRIPT SMALL Y;BoldScript;0079;y
1D503;𝔃;MATHEMATICAL BOLD SCRIPT SMALL Z;BoldScript;007A;z
1D504;𝔄;MATHEMATICAL FRAKTUR CAPITAL A;Fraktur;0041;A
1D505;𝔅;MATHEMATICAL FRAKTUR CAPITAL B;Fraktur;0042;B
1D507;𝔇;MATHEMATICAL FRAKTUR CAPITAL D;Fraktur;0044;D
1D508;𝔈;MATHEMATICAL FRAKTUR CAPITAL E;Fraktur;0045;E
1D509;𝔉;MATHEMATICAL FRAKTUR CAPITAL F;Fraktur;0046;F
1D50A;𝔊;MATHEMATICAL FRAKTUR CAPITAL G;Fraktur;0047;G
1D50D;𝔍;MATHEMATICAL FRAKTUR CAPITAL J;Fraktur;004A;J
1D50E;𝔎;MATHEMATICAL FRAKTUR CAPITAL K;Fraktur;004B;K
1D50F;𝔏;MATHEMATICAL FRAKTUR CAPITAL L;Fraktur;004C;L
1D510;𝔐;MATHEMATICAL FRAKTUR CAPITAL M;Fraktur;004D;M
1D511;𝔑;MATHEMATICAL FRAKTUR CAPITAL N;Fraktur;004E;N
1D512;𝔒;MATHEMATICAL FRAKTUR CAPITAL O;Fraktur;004F;O
1D513;𝔓;MATHEMATICAL FRAKTUR CAPITAL P;Fraktur;0050;P
1D514;𝔔;MATHEMATICAL FRAKTUR CAPITAL Q;Fraktur;0051;Q
1D516;𝔖;MATHEMATICAL FRAKTUR CAPITAL S;Fraktur;0053;S
1D517;𝔗;MATHEMATICAL FRAKTUR CAPITAL T;Fraktur;0054;T
